;pais_destino;ano;quantidade_l;valor_uss
834;Ilha de Man;2014;0;0
835;Ilhas Virgens;2014;0;0
836;India;2014;0;0
837;Indonésia;2014;0;0
838;Irã;2014;0;0
839;Iraque;2014;0;0
840;Irlanda;2014;0;0
841;Itália;2014;604;2492
842;Jamaica;2014;0;0
843;Japão;2014;106426;401774
844;Jordânia;2014;0;0
845;Letônia;2014;0;0
846;Líbano;2014;0;0
847;Libéria;2014;0;0
848;Luxemburgo;2014;8281;52400
849;Malásia;2014;0;0
850;Malta;2014;0;0
851;Marshall, Ilhas;2014;0;0
852;Mauritânia;2014;0;0
853;México;2014;1521;24336
854;Moçambique;2014;0;0
855;Montenegro;2014;0;0
856;Namibia;2014;0;0
857;Nicaragua;2014;0;0
858;Nigéria;2014;0;0
859;Noruega;2014;7179;50464
860;Nova Caledônia;2014;0;0
861;Nova Zelândia;2014;2800;13675
862;Omã;2014;0;0
863;Países Baixos;2014;165289;773767
864;Panamá;2014;0;0
865;Paraguai;2014;521847;908028
866;Peru;2014;0;0
867;Polônia;2014;30181;107957
868;Porto Rico;2014;0;0
869;Portugal;2014;71544;79141
870;Quênia;2014;0;0
871;Reino Unido;2014;305807;1373747
872;República Dominicana;2014;0;0
